seed,step,acc0,acc1,frac_pos0,frac_pos1,best_pos0,best_pos1,pick_pos0,pick_pos1,gap0,gap1
13,20000,0.733516,0.568681,0.103333,0.103333,0.00487416,0.00567175,0.00177242,0.00230415,0.00310174,0.00336760
13,30000,0.868132,0.681319,0.033333,0.000000,0.00357143,-1.00000000,0.00109890,-1.00000000,0.00247253,-1.00000000
13,50000,0.945055,0.730769,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
13,80000,0.945055,0.750000,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
13,120000,0.964286,0.750000,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
13,200000,0.967033,0.766484,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
13,300000,0.969780,0.769231,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
14,0,0.247253,0.250000,0.833333,0.896667,0.01241758,0.01179582,0.00935165,0.00854814,0.00306593,0.00324768
14,500,0.450549,0.475275,0.630000,0.436667,0.00888133,0.00677376,0.00629397,0.00404748,0.00258736,0.00272628
14,1000,0.532967,0.456044,0.420000,0.450000,0.00913571,0.00862841,0.00651927,0.00547416,0.00261643,0.00315425
14,2000,0.491758,0.480769,0.466667,0.450000,0.00951727,0.00775336,0.00720173,0.00496540,0.00231554,0.00278795
14,3000,0.489011,0.489011,0.500000,0.343333,0.00789377,0.00826843,0.00505495,0.00586792,0.00283883,0.00240051
14,5000,0.571429,0.464286,0.546667,0.326667,0.00775596,0.00734470,0.00579603,0.00440121,0.00195993,0.00294349
14,8000,0.483516,0.541209,0.453333,0.163333,0.00743374,0.00532631,0.00416128,0.00229872,0.00327246,0.00302758
14,12000,0.620879,0.516484,0.333333,0.223333,0.00620879,0.00602755,0.00480769,0.00266525,0.00140110,0.00336231
14,20000,0.766484,0.612637,0.050000,0.053333,0.00476190,0.00429258,0.00384615,0.00137363,0.00091575,0.00291896
14,30000,0.859890,0.706044,0.003333,0.000000,0.00274725,-1.00000000,-0.00549451,-1.00000000,0.00824176,-1.00000000
14,50000,0.901099,0.722527,0.000000,0.003333,-1.00000000,0.00549451,-1.00000000,0.00549451,-1.00000000,0.00000000
14,80000,0.909341,0.725275,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
14,120000,0.912088,0.733516,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
14,200000,0.914835,0.741758,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
14,300000,0.917582,0.741758,0.000000,0.000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000,-1.00000000
15,0,0.208791,0.241758,0.923333,0.936667,0.01301226,0.01415666,0.01004681,0.01145829,0.00296545,0.00269837
15,500,0.491758,0.445055,0.436667,0.556667,0.00887090,0.00889978,0.00671085,0.00639929,0.00216005,0.00250049
15,1000,0.538462,0.472527,0.183333,0.520000,0.00594406,0.00794238,0.00294705,0.00473725,0.00299700,0.00320513
15,2000,0.519231,0.467033,0.413333,0.466667,0.00799805,0.00753532,0.00593761,0.00378728,0.00206044,0.00374804
15,3000,0.530220,0.453297,0.210000,0.496667,0.00579976,0.00796519,0.00287807,0.00492293,0.00292168,0.00304226
15,5000,0.483516,0.461538,0.430000,0.403333,0.00773064,0.00887749,0.00511117,0.00603942,0.00261947,0.00283807
15,8000,0.604396,0.502747,0.320000,0.430000,0.00807005,0.00700656,0.00672505,0.00419542,0.00134501,0.00281114
15,12000,0.678571,0.494505,0.310000,0.360000,0.00620347,0.00669007,0.00381071,0.00432438,0.00239277,0.00236569
